animalid,name,datetime,outcometype,outcomesubtype,animaltype,sexuponoutcome,ageuponoutcome,breed,color
A678050,Unnamed,2014-05-03 16:15:00,Transfer,Partner,Cat,Intact Male,21,Domestic Shorthair Mix,Brown Tabby
A680028,Unnamed,2014-06-07 12:54:00,Transfer,Partner,Dog,Intact Female,14,Pit Bull Mix,Brown/White
A679010,Chrissy,2014-05-17 11:32:00,Transfer,Partner,Cat,Intact Female,730,Angora Mix,White
A684787,Kuma,2014-07-30 17:34:00,Return_to_owner,unknown,Dog,Neutered Male,365,Flat Coat Retriever Mix,Black
A670658,Anders,2014-01-19 15:03:00,Transfer,Partner,Dog,Intact Male,60,Queensland Heeler Mix,Black/White
A708812,Munchkin,2015-09-18 15:19:00,Transfer,Partner,Cat,Spayed Female,365,Domestic Shorthair Mix,White
A705262,Jamaica,2015-08-15 14:22:00,Adoption,unknown,Dog,Spayed Female,730,Plott Hound/Boxer,Brown Brindle/White
A665781,Quattro,2013-10-28 16:32:00,Adoption,unknown,Dog,Neutered Male,300,German Shepherd Mix,Brown/White
A676333,Trigger,2014-04-09 17:44:00,Return_to_owner,unknown,Dog,Neutered Male,60,German Shepherd Mix,Black/Brown
A712750,Olive,2015-10-03 15:44:00,Transfer,Partner,Cat,Intact Female,30,Domestic Shorthair Mix,Orange Tabby
A718832,Nia,2016-01-15 17:31:00,Adoption,unknown,Dog,Spayed Female,180,American Staffordshire Terrier Mix,Chocolate/White
A698777,Chloe,2015-03-25 18:50:00,Adoption,unknown,Dog,Spayed Female,1825,Chihuahua Shorthair Mix,White/Tan
A715348,Cymbale,2015-11-21 13:01:00,Adoption,unknown,Cat,Spayed Female,60,Domestic Shorthair Mix,Cream Tabby/White
A708666,Jax,2015-07-30 14:30:00,Return_to_owner,unknown,Cat,Neutered Male,2555,Russian Blue Mix,Blue
A718535,Unnamed,2016-01-01 13:57:00,Euthanasia,Suffering,Cat,Spayed Female,1095,Domestic Shorthair Mix,Calico
A707341,Murphy,2015-07-15 15:25:00,Transfer,Partner,Dog,Intact Male,120,Labrador Retriever Mix,Black/White
A682532,Unnamed,2014-07-03 17:01:00,Adoption,unknown,Cat,Spayed Female,60,Domestic Shorthair Mix,Torbie
A666825,Jesse,2013-11-08 13:24:00,Return_to_owner,unknown,Dog,Neutered Male,1825,Collie Smooth/German Shepherd,Brown/Black
A699723,Delgado,2015-04-11 16:01:00,Transfer,Partner,Dog,Neutered Male,1095,Chihuahua Shorthair Mix,Brown
A668626,Unnamed,2013-12-06 14:55:00,Euthanasia,Suffering,Dog,Intact Male,1095,Labrador Retriever Mix,Yellow
A657085,Pony Boy,2013-10-24 11:22:00,Return_to_owner,unknown,Dog,Neutered Male,1095,Pit Bull Mix,Brown/White
A682413,Unnamed,2014-07-02 13:37:00,Transfer,Partner,Cat,Intact Male,60,Domestic Shorthair Mix,Blue/White
A702655,Mica,2015-08-11 00:00:00,Transfer,Partner,Cat,Neutered Male,120,Domestic Shorthair Mix,Black/White
A707503,Unnamed,2015-07-14 12:16:00,Transfer,Partner,Cat,Intact Male,21,Domestic Shorthair Mix,Brown Tabby
A697199,Pilar,2015-04-04 17:26:00,Adoption,unknown,Cat,Spayed Female,2555,Domestic Shorthair Mix,Blue Tabby
A705598,Unnamed,2015-06-23 13:25:00,Transfer,Partner,Cat,Intact Male,60,Domestic Shorthair Mix,Orange Tabby
A668388,Lucy,2013-12-09 15:04:00,Transfer,Partner,Cat,Intact Female,60,Domestic Shorthair Mix,Brown Tabby
A671181,Unnamed,2014-01-21 15:15:00,Transfer,SCRP,Cat,Intact Male,1460,Domestic Longhair Mix,Black/White
A676766,Ali,2014-05-28 15:52:00,Adoption,unknown,Cat,Neutered Male,730,Domestic Shorthair Mix,Black/White
A686716,Chester,2014-08-27 07:50:00,Return_to_owner,unknown,Dog,Neutered Male,4380,Beagle,Tricolor
A684475,Daisy,2014-08-05 11:15:00,Return_to_owner,unknown,Cat,Spayed Female,270,Domestic Shorthair Mix,White/Black
A701804,Unnamed,2015-05-05 11:46:00,Transfer,Partner,Cat,Intact Female,21,Domestic Shorthair Mix,Black
A697852,Edith,2015-03-09 17:57:00,Adoption,unknown,Dog,Spayed Female,150,German Shepherd Mix,Black/Brown
A666092,Unnamed,2013-10-30 15:37:00,Euthanasia,Aggressive,Dog,Intact Male,2190,Pit Bull/Labrador Retriever,Chocolate/White
A684050,Unnamed,2014-07-28 09:00:00,Transfer,SCRP,Cat,Intact Female,365,Domestic Shorthair Mix,Tortie
A710107,Caty,2015-10-19 18:58:00,Adoption,unknown,Cat,Spayed Female,90,Domestic Shorthair Mix,Brown Tabby
A682347,Unnamed,2014-06-26 17:16:00,Transfer,Partner,Cat,Intact Female,21,Domestic Shorthair Mix,Blue Tabby/White
A701627,Gabe,2015-05-14 12:07:00,Adoption,unknown,Dog,Neutered Male,730,Blue Lacy Mix,Gray/White
A690902,Beth,2014-11-18 16:05:00,Adoption,unknown,Cat,Spayed Female,60,Domestic Shorthair Mix,Orange Tabby/White
A712979,Unnamed,2015-10-04 15:02:00,Transfer,Partner,Cat,Intact Male,7,Domestic Shorthair Mix,Black
A707687,Bashful,2015-08-16 13:52:00,Adoption,unknown,Cat,Spayed Female,60,Domestic Shorthair Mix,Calico
A683443,Unnamed,2014-07-18 16:23:00,Transfer,Partner,Dog,Intact Male,365,Chihuahua Shorthair Mix,Tan
A597644,Lola,2014-09-16 14:05:00,Return_to_owner,unknown,Dog,Spayed Female,1460,Black Mouth Cur Mix,Tan/Black
A682784,Sugar,2014-07-07 12:38:00,Adoption,unknown,Dog,Neutered Male,730,Dachshund/Beagle,Brown/White
A709863,Orangejello,2015-08-19 13:32:00,Transfer,Partner,Cat,Intact Male,365,Domestic Shorthair Mix,Orange Tabby/White
A678506,Prec Punkin',2014-05-09 18:07:00,Euthanasia,Suffering,Dog,Spayed Female,4015,Yorkshire Terrier Mix,Brown/Black
A713029,Wilma,2015-10-06 15:07:00,Transfer,Partner,Cat,Intact Female,30,Domestic Shorthair Mix,Black
A712236,Bella,2015-09-23 11:45:00,Adoption,unknown,Dog,Spayed Female,730,Dachshund Mix,Tan/White
A683961,Unnamed,2014-07-17 17:31:00,Transfer,Partner,Cat,Unknown,14,Domestic Shorthair Mix,Black
A714740,Chiquita,2015-10-27 18:32:00,Return_to_owner,unknown,Dog,Spayed Female,2190,Maltese Mix,White
A691847,Hero,2014-12-08 15:53:00,Transfer,Partner,Dog,Neutered Male,180,Pointer Mix,Black/White
A711392,Molly,2015-09-08 15:31:00,Transfer,Partner,Dog,Intact Female,60,English Foxhound,Buff
A705258,Unnamed,2015-06-16 09:00:00,Transfer,SCRP,Cat,Unknown,60,Domestic Shorthair Mix,Brown Tabby/White
A678172,Bella,2014-05-10 18:18:00,Adoption,unknown,Dog,Spayed Female,365,Chihuahua Shorthair Mix,Red
A676736,Chili,2014-04-30 17:55:00,Adoption,unknown,Dog,Neutered Male,60,Vizsla Mix,Brown
A701575,Hastings,2016-01-29 14:53:00,Transfer,Partner,Dog,Neutered Male,730,Pit Bull Mix,Brown Brindle/White
A674913,Unnamed,2014-03-25 18:15:00,Adoption,unknown,Dog,Spayed Female,1095,German Shepherd/Great Pyrenees,White
A706446,Tootsie,2015-08-18 11:32:00,Return_to_owner,unknown,Cat,Intact Female,365,Domestic Shorthair Mix,Black
A669540,Snookie,2013-12-28 16:17:00,Return_to_owner,unknown,Dog,Spayed Female,1460,Yorkshire Terrier Mix,Blue/Tan
A709371,Abby,2015-08-19 14:28:00,Transfer,Partner,Dog,Spayed Female,730,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan
A681410,Nym,2014-06-22 17:22:00,Adoption,unknown,Cat,Spayed Female,90,Domestic Longhair,Brown Tabby
A675021,Unnamed,2014-03-21 17:09:00,Euthanasia,Suffering,Cat,Intact Female,365,Domestic Shorthair Mix,Calico
A704179,Zeus,2015-06-07 16:07:00,Adoption,unknown,Dog,Neutered Male,60,Chow Chow/Pit Bull,Black
A717839,Unnamed,2015-12-20 19:38:00,Transfer,SCRP,Cat,Spayed Female,730,Domestic Shorthair Mix,Black/White
A700740,Charlie,2015-12-17 12:10:00,Adoption,Foster,Dog,Neutered Male,365,Chihuahua Shorthair,White
A712376,Unnamed,2015-09-22 12:10:00,Euthanasia,Suffering,Cat,Unknown,14,Domestic Shorthair Mix,Blue Tabby
A703952,Taco,2015-05-30 18:56:00,Transfer,Partner,Cat,Unknown,28,Siamese Mix,Seal Point
A713690,Unnamed,2015-10-12 09:00:00,Transfer,SCRP,Cat,Intact Male,730,Domestic Shorthair Mix,Blue Tabby
A691838,Avaddon,2015-02-09 17:17:00,Euthanasia,Suffering,Dog,Neutered Male,4380,Pit Bull Mix,Brown Brindle
A687789,Unnamed,2014-09-14 18:51:00,Adoption,unknown,Dog,Neutered Male,365,Dachshund/Beagle,Brown/White
A704754,Arthur,2015-07-18 15:37:00,Adoption,Foster,Cat,Neutered Male,60,Domestic Shorthair Mix,Black
A707531,Unnamed,2015-07-14 15:04:00,Transfer,Partner,Cat,Intact Male,14,Domestic Shorthair Mix,Black
A677594,Unnamed,2014-04-26 18:00:00,Transfer,Partner,Dog,Intact Female,90,Labrador Retriever Mix,Black/White
A667155,Unnamed,2013-11-18 15:56:00,Adoption,unknown,Cat,Spayed Female,90,Domestic Medium Hair Mix,Calico
A717147,Freeway,2015-12-15 14:16:00,Adoption,unknown,Dog,Neutered Male,150,Plott Hound Mix,Brown Brindle/White
A687012,Chloe,2016-02-07 14:54:00,Adoption,unknown,Dog,Spayed Female,1095,Boxer/Great Dane,Black
A676200,Georgia,2014-04-10 11:49:00,Transfer,Partner,Dog,Spayed Female,2555,Lhasa Apso,White/Black
A676680,Hero,2015-02-06 18:56:00,Euthanasia,Aggressive,Dog,Spayed Female,730,German Shepherd Mix,Black/Tan
A688443,Thelma,2014-12-29 15:11:00,Adoption,Foster,Cat,Spayed Female,120,Domestic Shorthair Mix,Black
A715261,Darcy,2015-11-15 14:06:00,Adoption,unknown,Dog,Spayed Female,270,Beagle/Treeing Walker Coonhound,White/Brown
A717008,Taz,2015-12-06 15:12:00,Transfer,Partner,Dog,Neutered Male,210,Border Collie Mix,Black/White
A683416,Unnamed,2014-07-14 19:28:00,Adoption,unknown,Cat,Neutered Male,60,Domestic Shorthair Mix,Black/White
A690658,Unnamed,2014-10-24 09:00:00,Transfer,SCRP,Cat,Intact Male,1095,Domestic Shorthair Mix,Black/White
A695155,Unnamed,2015-01-14 16:18:00,Adoption,unknown,Dog,Neutered Male,1095,Border Terrier Mix,Gray
A679721,Poppy,2014-05-29 17:43:00,Adoption,unknown,Dog,Neutered Male,1825,Chihuahua Shorthair Mix,Tan/White
A719113,Dexter,2016-01-28 12:05:00,Transfer,Partner,Dog,Neutered Male,1825,Boxer Mix,Brown Brindle/White
A665298,Unnamed,2013-10-16 11:50:00,Transfer,Partner,Cat,Intact Female,14,Domestic Medium Hair Mix,Blue
A708351,Unnamed,2015-07-26 14:40:00,Transfer,Partner,Cat,Unknown,14,Domestic Shorthair Mix,Black
A670681,Matty,2014-01-30 14:41:00,Transfer,Partner,Cat,Spayed Female,1460,Domestic Shorthair Mix,Torbie
A699990,Chubbs,2015-04-08 18:06:00,Return_to_owner,unknown,Dog,Neutered Male,1460,Cairn Terrier Mix,Tan/White
A707767,Lilly,2015-07-19 18:27:00,Adoption,unknown,Cat,Neutered Male,60,Domestic Shorthair Mix,Brown Tabby
A668362,Minnie,2013-12-20 12:02:00,Return_to_owner,unknown,Dog,Spayed Female,730,Chihuahua Shorthair Mix,Black/Tan
A674577,Santiago,2014-03-23 18:43:00,Adoption,unknown,Dog,Neutered Male,730,Dogo Argentino Mix,White
A674802,Franklin,2014-03-29 11:26:00,Return_to_owner,unknown,Dog,Neutered Male,270,Dachshund Mix,Black/Brown
A672410,Myles,2014-02-11 18:16:00,Return_to_owner,unknown,Dog,Neutered Male,1825,Beagle Mix,Tricolor
A657753,Wiz,2013-12-06 16:53:00,Euthanasia,Aggressive,Dog,Neutered Male,365,Chihuahua Shorthair/Dachshund,Yellow Brindle/White
A663339,Abby,2013-10-20 16:37:00,Adoption,unknown,Dog,Spayed Female,730,Pit Bull Mix,Fawn/White
A678229,Unnamed,2014-05-06 15:59:00,Transfer,Partner,Cat,Intact Male,21,Domestic Shorthair Mix,Brown Tabby
A698694,Boss,2015-07-06 15:48:00,Transfer,Partner,Dog,Intact Male,150,Pit Bull Mix,White/Brown
A695971,Unnamed,2015-01-26 16:23:00,Euthanasia,Suffering,Cat,Intact Male,2190,Domestic Shorthair Mix,Orange Tabby
A674233,Missy,2014-03-22 15:38:00,Adoption,unknown,Dog,Spayed Female,365,Chihuahua Shorthair Mix,Tan
A713392,Basil,2015-11-05 00:00:00,Transfer,Partner,Dog,Intact Male,90,Chihuahua Shorthair Mix,Black/White
A713968,Katydid,2015-10-24 18:29:00,Transfer,Partner,Cat,Intact Female,30,Domestic Longhair Mix,Calico
A701428,Kiki,2015-05-03 16:59:00,Return_to_owner,unknown,Dog,Spayed Female,1095,Chihuahua Shorthair Mix,Brown
A676146,Desmo,2014-04-14 17:00:00,Return_to_owner,unknown,Dog,Neutered Male,1825,Dachshund Mix,Black
A679259,Pablo,2014-05-26 11:22:00,Adoption,unknown,Dog,Neutered Male,2920,Miniature Schnauzer/Miniature Poodle,Black
A688223,Unnamed,2014-09-21 14:15:00,Adoption,Offsite,Dog,Spayed Female,60,Labrador Retriever Mix,Black/White
A691968,Unnamed,2014-11-14 11:57:00,Euthanasia,Suffering,Cat,Intact Female,2555,Domestic Shorthair Mix,Tortie
A688871,Pandora,2014-10-03 18:43:00,Adoption,unknown,Cat,Intact Female,60,Domestic Shorthair Mix,Black
A674530,Jackson,2014-09-11 17:03:00,Adoption,unknown,Dog,Neutered Male,1825,Pit Bull,Black
A718604,Watson,2016-01-31 17:22:00,Adoption,unknown,Dog,Neutered Male,365,Pit Bull Mix,White/Brown
A686520,Unnamed,2014-08-24 09:00:00,Transfer,SCRP,Cat,Intact Male,90,Domestic Shorthair Mix,Brown Tabby
A699094,Levon,2015-03-22 18:40:00,Return_to_owner,unknown,Dog,Neutered Male,730,Chihuahua Shorthair Mix,Brown/White
A394547,Snickerdoodl,2015-01-25 11:15:00,Return_to_owner,unknown,Dog,Spayed Female,270,Labrador Retriever Mix,Chocolate/White
A662685,Lola,2015-10-22 17:18:00,Adoption,unknown,Dog,Spayed Female,1095,Pit Bull Mix,Red/White
A713977,Jumbly,2015-10-26 18:39:00,Return_to_owner,unknown,Cat,Spayed Female,1095,Domestic Shorthair Mix,Calico
A707781,Pearl,2016-01-15 14:03:00,Adoption,unknown,Dog,Spayed Female,365,Chihuahua Shorthair/Jack Russell Terrier,Black/White
A694699,Pebbles,2015-01-09 15:28:00,Transfer,Partner,Dog,Spayed Female,730,Chihuahua Shorthair Mix,Black/Tan
A696350,Minnie,2015-12-15 17:30:00,Return_to_owner,unknown,Dog,Spayed Female,365,Pit Bull,Brown Brindle
A679102,Merlin,2014-06-10 16:41:00,Transfer,Partner,Cat,Neutered Male,730,Siamese Mix,Flame Point
A698341,Parsley,2015-05-16 15:19:00,Return_to_owner,unknown,Dog,Spayed Female,730,Tibetan Terrier Mix,Brown
A681481,Unnamed,2014-06-18 09:00:00,Transfer,SCRP,Cat,Intact Female,730,Domestic Shorthair Mix,Blue/White
A714177,Unnamed,2015-10-20 09:00:00,Transfer,SCRP,Cat,Unknown,90,Domestic Shorthair Mix,Tortie
A689601,Abby,2014-11-23 18:55:00,Adoption,Foster,Dog,Spayed Female,30,Miniature Pinscher/Chihuahua Shorthair,Tricolor
A685062,Unnamed,2014-08-05 13:20:00,Adoption,unknown,Cat,Neutered Male,60,Domestic Shorthair Mix,Orange Tabby/White
A672453,Unnamed,2014-02-16 19:38:00,Adoption,Offsite,Cat,Neutered Male,300,Domestic Medium Hair Mix,Cream Tabby
A719480,Ricky,2016-02-09 16:31:00,Transfer,Partner,Cat,Spayed Female,730,Domestic Medium Hair Mix,Brown Tabby/White
A702880,Tom,2015-06-28 15:33:00,Adoption,unknown,Cat,Spayed Female,60,Domestic Medium Hair Mix,Calico
A714494,Amarillo,2015-11-01 19:11:00,Adoption,unknown,Dog,Neutered Male,180,Labrador Retriever Mix,Yellow
A711853,Nala,2015-11-07 19:14:00,Adoption,unknown,Cat,Spayed Female,60,Domestic Shorthair Mix,Brown Tabby
A688720,Unnamed,2014-09-26 18:09:00,Adoption,unknown,Dog,Spayed Female,365,Dachshund Mix,Tan
A689690,Winnie,2014-10-22 14:37:00,Transfer,Partner,Dog,Intact Female,180,Dachshund Mix,Brown/White
A679915,Luna,2014-06-01 17:48:00,Adoption,unknown,Cat,Spayed Female,365,Domestic Shorthair Mix,Black/White
A687991,Unnamed,2014-09-12 18:38:00,Transfer,Partner,Cat,Intact Male,21,Domestic Shorthair Mix,Calico
A707896,Tokyo,2016-02-19 14:58:00,Adoption,Foster,Cat,Neutered Male,730,Domestic Shorthair Mix,Brown Tabby
A702014,Diamond,2015-11-14 13:30:00,Adoption,unknown,Dog,Spayed Female,330,Blue Lacy Mix,Blue/White
A673626,Unnamed,2014-03-03 16:58:00,Transfer,Partner,Dog,Neutered Male,90,Rat Terrier Mix,Tricolor
A652097,Minnie,2014-02-10 12:34:00,Return_to_owner,unknown,Dog,Spayed Female,730,Dachshund Longhair,Brown
A685180,Neville,2014-09-27 12:25:00,Transfer,Partner,Dog,Neutered Male,730,Pit Bull Mix,Red
A707442,Conrad,2015-08-15 11:32:00,Adoption,unknown,Dog,Neutered Male,730,Pit Bull Mix,Brown/White
A682599,Shiva,2014-07-03 18:45:00,Adoption,unknown,Cat,Spayed Female,120,Domestic Longhair,Calico
A685452,Unnamed,2014-08-11 15:17:00,Transfer,Partner,Dog,Intact Female,120,Dachshund/Chihuahua Shorthair,Red
A688067,Unnamed,2014-09-15 09:00:00,Transfer,SCRP,Cat,Intact Female,150,Domestic Shorthair Mix,Torbie
A714069,Jupiter,2015-12-16 11:28:00,Adoption,Foster,Cat,Neutered Male,60,Domestic Shorthair Mix,Black Tabby/White
A705924,Nero,2015-07-29 15:41:00,Transfer,Partner,Dog,Neutered Male,2555,Chihuahua Shorthair Mix,Brown/White
A717167,Oscar,2016-01-23 16:05:00,Adoption,Foster,Cat,Neutered Male,1460,Domestic Shorthair Mix,Black/White
A711639,Unnamed,2015-09-10 11:35:00,Transfer,Partner,Cat,Intact Female,21,Domestic Shorthair Mix,Tortie/Calico
A716760,Dasher,2015-12-06 17:08:00,Adoption,unknown,Dog,Neutered Male,180,Border Collie Mix,Black/White
A709048,Libby,2015-08-08 17:58:00,Adoption,unknown,Dog,Intact Female,150,Labrador Retriever Mix,Black/White
A719048,Gracie,2016-01-13 11:43:00,Return_to_owner,unknown,Dog,Spayed Female,2920,Maltese,White
A707437,Unnamed,2015-07-19 17:26:00,Adoption,unknown,Cat,Neutered Male,60,Domestic Shorthair Mix,Black
A706387,Sugar,2015-07-06 18:05:00,Adoption,unknown,Cat,Spayed Female,30,Domestic Shorthair Mix,Blue Tabby/White
A720668,Unnamed,2016-02-15 18:30:00,Return_to_owner,unknown,Dog,Spayed Female,150,Labrador Retriever Mix,White
A679341,Jethro,2014-05-31 13:58:00,Transfer,Partner,Cat,Intact Male,30,Domestic Shorthair Mix,Brown Tabby
A690519,Unnamed,2014-10-23 09:00:00,Transfer,SCRP,Cat,Intact Male,120,Domestic Shorthair Mix,Blue Tabby
A708769,Keyla,2015-08-01 11:54:00,Adoption,unknown,Dog,Spayed Female,365,Chihuahua Shorthair Mix,White/Tan
A681462,Samson,2014-08-10 16:25:00,Adoption,unknown,Dog,Neutered Male,730,Labrador Retriever/Rottweiler,Black/Brown
A666444,August,2013-11-04 15:50:00,Transfer,Partner,Cat,Spayed Female,4015,Domestic Shorthair Mix,Tortie
A701153,Unnamed,2015-06-25 09:31:00,Adoption,Foster,Dog,Neutered Male,60,Dachshund/Manchester Terrier,Tricolor
A710071,Herb,2015-09-01 00:00:00,Transfer,Partner,Cat,Neutered Male,60,Domestic Shorthair Mix,White/Black
A714602,Stripey,2015-10-29 18:44:00,Adoption,unknown,Cat,Intact Female,60,Domestic Shorthair Mix,Brown Tabby
A700707,Sallie,2015-04-20 14:41:00,Adoption,unknown,Dog,Spayed Female,30,Plott Hound/Labrador Retriever,Black/Brown Brindle
A702563,Klo Dog,2015-05-25 11:26:00,Return_to_owner,unknown,Dog,Spayed Female,2555,Chihuahua Shorthair/Rat Terrier,White/Tan
A679441,Unnamed,2014-05-21 13:47:00,Transfer,Partner,Cat,Intact Male,4,Domestic Shorthair Mix,Cream Tabby/White
A715729,Milo,2015-11-09 13:24:00,Return_to_owner,unknown,Dog,Neutered Male,1460,Siberian Husky,White/Gray
A716575,Scarlet,2015-12-22 00:00:00,Transfer,Partner,Dog,Spayed Female,730,Australian Cattle Dog Mix,Tan/White
A714462,Pebbles,2015-11-14 13:26:00,Return_to_owner,unknown,Dog,Spayed Female,365,Pointer Mix,White/Black
A717429,Cairo,2015-12-09 17:05:00,Return_to_owner,unknown,Dog,Neutered Male,730,Pit Bull Mix,Brown Brindle/White
A687336,Unnamed,2014-09-03 18:51:00,Transfer,Partner,Cat,Intact Female,28,Domestic Medium Hair Mix,Brown Tabby
A713364,Calypso,2015-11-13 11:53:00,Transfer,Partner,Cat,Intact Female,365,Domestic Shorthair Mix,Black/White
A701999,Luna,2015-05-12 17:39:00,Adoption,unknown,Dog,Spayed Female,730,Yorkshire Terrier/Miniature Poodle,Tan/Silver
A664304,Unnamed,2013-10-03 12:27:00,Transfer,SCRP,Cat,Intact Male,300,Domestic Shorthair Mix,Orange Tabby
A698066,Diva,2015-03-07 12:50:00,Transfer,Partner,Dog,Spayed Female,1460,German Shepherd Mix,White
A680585,Olivia,2014-07-16 17:48:00,Adoption,unknown,Cat,Spayed Female,120,Domestic Shorthair Mix,Brown Tabby/White
A699715,Ashley,2015-05-13 11:51:00,Transfer,Partner,Dog,Spayed Female,2190,Catahoula/Labrador Retriever,White/Tan
A702246,Unnamed,2015-05-15 17:47:00,Adoption,unknown,Dog,Spayed Female,270,Miniature Poodle Mix,Black/White
A711918,Jaqueline,2015-09-19 14:33:00,Adoption,unknown,Dog,Spayed Female,1095,Jack Russell Terrier/Pit Bull,Red
A676430,Tabitha,2014-11-23 12:43:00,Adoption,unknown,Cat,Spayed Female,240,Domestic Shorthair Mix,Torbie
A677577,Roxie,2014-05-01 16:12:00,Adoption,unknown,Dog,Spayed Female,300,Queensland Heeler/Shetland Sheepdog,Red Tick/Black
A683666,Unnamed,2015-09-01 00:00:00,Transfer,Partner,Cat,Neutered Male,365,Domestic Shorthair Mix,White/Cream Tabby
A713754,Harper,2015-10-27 16:44:00,Adoption,unknown,Dog,Neutered Male,365,Catahoula Mix,Blue Merle
A703631,Hanley,2015-07-03 18:50:00,Adoption,unknown,Dog,Neutered Male,365,Labrador Retriever Mix,Black/White
A676209,Boomer,2014-07-24 15:02:00,Adoption,Foster,Dog,Neutered Male,90,Labrador Retriever Mix,Yellow
A667508,Brownie,2013-11-19 18:30:00,Return_to_owner,unknown,Dog,Intact Male,2190,Chihuahua Shorthair Mix,Chocolate/Tan
A671105,Unnamed,2014-01-21 15:20:00,Transfer,SCRP,Cat,Unknown,365,Domestic Longhair Mix,Black
A676056,Swisha,2014-04-10 10:13:00,Return_to_owner,unknown,Dog,Neutered Male,730,American Pit Bull Terrier Mix,Tan/White
A667963,Unnamed,2013-11-30 18:48:00,Adoption,unknown,Dog,Spayed Female,1825,Dachshund Longhair Mix,Tan/White
A702207,Unnamed,2015-05-10 17:16:00,Euthanasia,Suffering,Cat,Neutered Male,4380,Domestic Longhair Mix,Orange Tabby/White
A672065,Dutchess,2014-04-08 12:50:00,Adoption,unknown,Dog,Spayed Female,730,German Shepherd Mix,Sable
A688852,Buddy,2014-10-18 18:48:00,Adoption,unknown,Dog,Neutered Male,2190,Labrador Retriever Mix,Black/White
A705885,Meowser,2015-06-27 18:24:00,Adoption,unknown,Cat,Neutered Male,90,Domestic Shorthair Mix,Black
A670949,Cassie,2014-02-01 11:13:00,Return_to_owner,unknown,Dog,Spayed Female,240,Doberman Pinsch Mix,Tricolor
A665666,Teddy,2013-12-27 15:49:00,Transfer,Partner,Cat,Neutered Male,365,Domestic Shorthair Mix,Black
A714575,Isis,2015-10-31 15:18:00,Transfer,Partner,Cat,Intact Female,5475,Domestic Shorthair Mix,Black
A690480,Unnamed,2014-10-22 17:46:00,Transfer,Partner,Dog,Intact Female,21,Pointer Mix,Chocolate/White
A691636,Dali,2014-11-13 16:07:00,Adoption,unknown,Dog,Neutered Male,150,Dachshund/Jack Russell Terrier,White/Brown
A678482,Unnamed,2014-05-14 19:15:00,Adoption,unknown,Dog,Neutered Male,730,Miniature Poodle/Miniature Schnauzer,Black/White
A687785,Bella,2014-12-30 09:38:00,Adoption,Foster,Dog,Spayed Female,730,Whippet Mix,Brown Brindle/White
A716839,Dino,2015-11-27 14:06:00,Return_to_owner,unknown,Dog,Intact Male,730,Australian Shepherd Mix,Brown Merle/White
A718547,Unnamed,2016-01-11 14:23:00,Adoption,unknown,Dog,Spayed Female,730,Labrador Retriever Mix,Tan/White
A687989,Unnamed,2014-09-12 18:38:00,Transfer,Partner,Cat,Intact Female,21,Domestic Shorthair Mix,Calico
A694408,Emma,2015-05-28 13:14:00,Transfer,Partner,Dog,Spayed Female,365,Pit Bull Mix,Brown Tiger/White
A698940,Unnamed,2015-03-21 09:00:00,Transfer,SCRP,Cat,Intact Male,730,Domestic Shorthair Mix,Brown Tabby/White
